anime_id,Name,Genres,Type,Studios,Source,Duration,Image URL
1,Cowboy Bebop,"Action, Award Winning, Sci-Fi",TV,Sunrise,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/4/19644.jpg
5,Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi",Movie,Bones,Original,1 hr 55 min,https://cdn.myanimelist.net/images/anime/1439/93480.jpg
6,Trigun,"Action, Adventure, Sci-Fi",TV,Madhouse,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/7/20310.jpg
7,Witch Hunter Robin,"Action, Drama, Mystery, Supernatural",TV,Sunrise,Original,25 min per ep,https://cdn.myanimelist.net/images/anime/10/19969.jpg
8,Bouken Ou Beet,"Adventure, Fantasy, Supernatural",TV,Toei Animation,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/7/21569.jpg
15,Eyeshield 21,Sports,TV,Gallop,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1079/133529.jpg
16,Hachimitsu to Clover,"Comedy, Drama, Romance",TV,J.C.Staff,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1301/133577.jpg
17,Hungry Heart: Wild Striker,"Comedy, Slice of Life, Sports",TV,Nippon Animation,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/12/49655.jpg
18,Initial D Fourth Stage,"Action, Drama",TV,A.C.G.T.,Manga,27 min per ep,https://cdn.myanimelist.net/images/anime/9/10521.jpg
19,Monster,"Drama, Mystery, Suspense",TV,Madhouse,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/10/18793.jpg
20,Naruto,"Action, Adventure, Fantasy",TV,Pierrot,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/13/17405.jpg
21,One Piece,"Action, Adventure, Fantasy",TV,Toei Animation,Manga,24 min,https://cdn.myanimelist.net/images/anime/6/73245.jpg
22,Tennis no Ouji-sama,Sports,TV,Trans Arts,Manga,22 min per ep,https://cdn.myanimelist.net/images/anime/6/21624.jpg
23,Ring ni Kakero 1,"Action, Sports",TV,Toei Animation,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/1146/124743.jpg
24,School Rumble,"Comedy, Romance",TV,Studio Comet,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/4/75488.jpg
25,Sunabouzu,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,Gonzo,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/6/75536.jpg
26,Texhnolyze,"Action, Drama, Sci-Fi",TV,Madhouse,Original,23 min per ep,https://cdn.myanimelist.net/images/anime/1027/131977.jpg
27,Trinity Blood,"Action, Supernatural",TV,Gonzo,Light novel,24 min per ep,https://cdn.myanimelist.net/images/anime/10/24649.jpg
28,Yakitate!! Japan,"Comedy, Gourmet",TV,Sunrise,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/3/76432.jpg
29,Zipang,"Action, Drama, Sci-Fi",TV,Studio Deen,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/13/75740.jpg
30,Neon Genesis Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,"Gainax, Tatsunoko Production",Original,24 min per ep,https://cdn.myanimelist.net/images/anime/1314/108941.jpg
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Sci-Fi",Movie,"Gainax, Production I.G",Original,1 hr 44 min,https://cdn.myanimelist.net/images/anime/1993/113122.jpg
32,Neon Genesis Evangelion: The End of Evangelion,"Avant Garde, Drama, Sci-Fi",Movie,"Gainax, Production I.G",Original,1 hr 26 min,https://cdn.myanimelist.net/images/anime/1404/98182.jpg
33,Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror",TV,OLM,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/1384/119988.jpg
43,Koukaku Kidoutai,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,Production I.G,Manga,1 hr 22 min,https://cdn.myanimelist.net/images/anime/10/82594.jpg
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance",OVA,Studio Deen,Manga,29 min per ep,https://cdn.myanimelist.net/images/anime/1391/120839.jpg
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Romance",TV,"Gallop, Studio Deen",Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/1346/119505.jpg
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,Movie,Gallop,Manga,1 hr 31 min,https://cdn.myanimelist.net/images/anime/4/47845.jpg
47,Akira,"Action, Adventure, Horror, Sci-Fi, Supernatural",Movie,Tokyo Movie Shinsha,Manga,2 hr 4 min,https://cdn.myanimelist.net/images/anime/1408/114012.jpg
48,.hack//Sign,"Adventure, Fantasy, Mystery",TV,Bee Train,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/1443/94665.jpg
49,Aa! Megami-sama!,"Comedy, Romance, Supernatural",OVA,AIC,Manga,30 min per ep,https://cdn.myanimelist.net/images/anime/11/71215.jpg
50,Aa! Megami-sama! (TV),"Comedy, Romance, Supernatural",TV,AIC,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1976/99376.jpg
51,Tenshi Kinryouku,"Action, Drama, Romance, Supernatural",OVA,Hal Film Maker,Manga,29 min per ep,https://cdn.myanimelist.net/images/anime/11/45208.jpg
52,Kidou Tenshi Angelic Layer,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,Bones,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1192/113699.jpg
53,Ai Yori Aoshi,"Comedy, Drama, Romance",TV,J.C.Staff,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/7/10172.jpg
54,Appleseed (Movie),"Action, Drama, Sci-Fi",Movie,Digital Frontier,Manga,1 hr 45 min,https://cdn.myanimelist.net/images/anime/9/57231.jpg
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,Bee Train,Game,22 min per ep,https://cdn.myanimelist.net/images/anime/3/49041.jpg
56,Avenger,"Adventure, Fantasy, Sci-Fi",TV,Bee Train,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/13/19921.jpg
57,Beck,"Comedy, Drama, Slice of Life",TV,Madhouse,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/11/11636.jpg
58,Blue Gender,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,AIC,Original,23 min per ep,https://cdn.myanimelist.net/images/anime/1/2023.jpg
59,Chobits,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,Madhouse,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/4/24648.jpg
60,Chrno Crusade,"Action, Romance, Supernatural",TV,Gonzo,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/13/14141.jpg
61,D.N.Angel,"Action, Comedy, Fantasy, Romance",TV,Xebec,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1126/98904.jpg
62,D.C.: Da Capo,"Drama, Romance",TV,"feel., Zexcs",Visual novel,24 min per ep,https://cdn.myanimelist.net/images/anime/4/73936.jpg
63,DearS,"Comedy, Romance, Sci-Fi, Ecchi",TV,Daume,Manga,23 min per ep,https://cdn.myanimelist.net/images/anime/1207/98872.jpg
64,Rozen Maiden,"Action, Comedy, Drama",TV,Nomad,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1424/108431.jpg
65,Rozen Maiden: Träumend,"Action, Comedy, Drama",TV,Nomad,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/4/10242.jpg
66,Azumanga Daiou The Animation,"Comedy, Slice of Life",TV,J.C.Staff,4-koma manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1066/117358.jpg
67,Basilisk: Kouga Ninpou Chou,"Action, Drama, Romance",TV,Gonzo,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1103/133549.jpg
68,Black Cat (TV),"Action, Adventure, Sci-Fi",TV,Gonzo,Manga,24 min per ep,https://cdn.myanimelist.net/images/anime/1183/133280.jpg
69,Cluster Edge,"Action, Fantasy, Sci-Fi",TV,Sunrise,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/1980/103243.jpg
71,Full Metal Panic!,"Action, Comedy, Sci-Fi",TV,Gonzo,Light novel,24 min per ep,https://cdn.myanimelist.net/images/anime/2/75259.jpg
72,Full Metal Panic? Fumoffu,"Action, Comedy",TV,Kyoto Animation,Light novel,24 min per ep,https://cdn.myanimelist.net/images/anime/4/75260.jpg
73,Full Metal Panic! The Second Raid,Action,TV,Kyoto Animation,Light novel,24 min per ep,https://cdn.myanimelist.net/images/anime/11/75261.jpg
74,Gakuen Alice,"Comedy, Fantasy",TV,Group TAC,Manga,25 min per ep,https://cdn.myanimelist.net/images/anime/4/18118.jpg
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Sci-Fi",TV,Xebec,Original,24 min per ep,https://cdn.myanimelist.net/images/anime/3/50365.jpg
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama",TV,Seven Arcs,Original,25 min per ep,https://cdn.myanimelist.net/images/anime/1052/136283.jpg
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama",TV,Seven Arcs,Original,25 min per ep,https://cdn.myanimelist.net/images/anime/4/6767.jpg
79,Shuffle!,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,asread.,Visual novel,24 min per ep,https://cdn.myanimelist.net/images/anime/1290/133860.jpg
80,Kidou Senshi Gundam,"Action, Drama, Sci-Fi",TV,Sunrise,Original,25 min per ep,https://cdn.myanimelist.net/images/anime/5/88524.jpg
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure, Drama, Romance, Sci-Fi",OVA,Sunrise,Original,25 min per ep,https://cdn.myanimelist.net/images/anime/9/75618.jpg
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama, Sci-Fi",OVA,Sunrise,Original,27 min per ep,https://cdn.myanimelist.net/images/anime/1/82.jpg
